"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7368","search_images","Webkit 1920","Fri Feb 28 05:33:25 UTC 2025","passed","Fri Feb 28 05:33:33 UTC 2025","","searxng.spec.js","",""
"","2033","preferences","Firefox 1920 - no js","Fri Feb 28 05:32:01 UTC 2025","passed","Fri Feb 28 05:32:03 UTC 2025","","searxng.spec.js","",""
"","1681","preferences","Chrome 1920 - high contrast","Fri Feb 28 05:32:47 UTC 2025","passed","Fri Feb 28 05:32:48 UTC 2025","","searxng.spec.js","",""
"","4495","index","Webkit 1920","Fri Feb 28 05:33:18 UTC 2025","passed","Fri Feb 28 05:33:22 UTC 2025","","searxng.spec.js","",""
"","4787","search_images","Firefox 1024 - centered","Fri Feb 28 05:30:00 UTC 2025","passed","Fri Feb 28 05:30:05 UTC 2025","","searxng.spec.js","",""
"","5795","search_images","Firefox 1920","Fri Feb 28 05:28:38 UTC 2025","passed","Fri Feb 28 05:28:43 UTC 2025","","searxng.spec.js","",""
"","6116","search_videos","Chromium 1920","Fri Feb 28 05:28:13 UTC 2025","passed","Fri Feb 28 05:28:19 UTC 2025","","searxng.spec.js","",""
"","2252","search_general","Mobile Chrome - centered - rtl","Fri Feb 28 05:31:15 UTC 2025","passed","Fri Feb 28 05:31:18 UTC 2025","","searxng.spec.js","",""
"","3888","index","Firefox 1920 - dark mode","Fri Feb 28 05:32:21 UTC 2025","passed","Fri Feb 28 05:32:25 UTC 2025","","searxng.spec.js","",""
"","3496","search_images","Mobile Chrome - centered","Fri Feb 28 05:30:54 UTC 2025","passed","Fri Feb 28 05:30:57 UTC 2025","","searxng.spec.js","",""
"","1566","search_code","Firefox 1024","Fri Feb 28 05:29:49 UTC 2025","passed","Fri Feb 28 05:29:51 UTC 2025","","searxng.spec.js","",""
"","4634","search_map","Firefox 1024 - centered - rtl","Fri Feb 28 05:30:38 UTC 2025","passed","Fri Feb 28 05:30:43 UTC 2025","","searxng.spec.js","",""
"","4750","search_map","Chromium 1920","Fri Feb 28 05:28:19 UTC 2025","passed","Fri Feb 28 05:28:24 UTC 2025","","searxng.spec.js","",""
"","2004","search_general","Firefox 1280","Fri Feb 28 05:29:04 UTC 2025","passed","Fri Feb 28 05:29:06 UTC 2025","","searxng.spec.js","",""
"","5031","search_map","Firefox 1920","Fri Feb 28 05:28:50 UTC 2025","passed","Fri Feb 28 05:28:55 UTC 2025","","searxng.spec.js","",""
"","306","about","Firefox 1280","Fri Feb 28 05:29:24 UTC 2025","passed","Fri Feb 28 05:29:25 UTC 2025","","searxng.spec.js","",""
"","1536","preferences","Mobile Chrome - centered","Fri Feb 28 05:30:46 UTC 2025","passed","Fri Feb 28 05:30:47 UTC 2025","","searxng.spec.js","",""
"","4737","search_map","Mobile Chrome - centered","Fri Feb 28 05:31:03 UTC 2025","passed","Fri Feb 28 05:31:08 UTC 2025","","searxng.spec.js","",""
"","3878","index","Mobile Chrome - centered","Fri Feb 28 05:30:47 UTC 2025","passed","Fri Feb 28 05:30:51 UTC 2025","","searxng.spec.js","",""
"","2034","preferences","Firefox 1920 - rtl","Fri Feb 28 05:31:35 UTC 2025","passed","Fri Feb 28 05:31:37 UTC 2025","","searxng.spec.js","",""
"","2451","search_general","Mobile Chrome - centered","Fri Feb 28 05:30:51 UTC 2025","passed","Fri Feb 28 05:30:54 UTC 2025","","searxng.spec.js","",""
"","6360","search_videos","Mobile Chrome - centered - rtl","Fri Feb 28 05:31:21 UTC 2025","passed","Fri Feb 28 05:31:28 UTC 2025","","searxng.spec.js","",""
"","3689","search_code","Chromium 1920","Fri Feb 28 05:28:24 UTC 2025","passed","Fri Feb 28 05:28:28 UTC 2025","","searxng.spec.js","",""
"","2035","preferences","Firefox 1024","Fri Feb 28 05:29:26 UTC 2025","passed","Fri Feb 28 05:29:28 UTC 2025","","searxng.spec.js","",""
"","4491","search_images","Firefox 1920 - no js","Fri Feb 28 05:32:07 UTC 2025","passed","Fri Feb 28 05:32:11 UTC 2025","","searxng.spec.js","",""
"","4704","search_map","Mobile Chrome - centered - rtl","Fri Feb 28 05:31:28 UTC 2025","passed","Fri Feb 28 05:31:33 UTC 2025","","searxng.spec.js","",""
"","3839","index","Firefox 1024 - centered","Fri Feb 28 05:29:54 UTC 2025","passed","Fri Feb 28 05:29:58 UTC 2025","","searxng.spec.js","",""
"","6030","search_videos","Mobile Chrome - centered","Fri Feb 28 05:30:57 UTC 2025","passed","Fri Feb 28 05:31:03 UTC 2025","","searxng.spec.js","",""
"","3875","index","Mobile Chrome","Fri Feb 28 05:33:51 UTC 2025","passed","Fri Feb 28 05:33:55 UTC 2025","","searxng.spec.js","",""
"","3902","index","Firefox 1920 - rtl","Fri Feb 28 05:31:37 UTC 2025","passed","Fri Feb 28 05:31:41 UTC 2025","","searxng.spec.js","",""
"","1308","search_code","Chrome 1920 - high contrast","Fri Feb 28 05:33:09 UTC 2025","passed","Fri Feb 28 05:33:11 UTC 2025","","searxng.spec.js","",""
"","6022","search_videos","Mobile Chrome","Fri Feb 28 05:34:01 UTC 2025","passed","Fri Feb 28 05:34:07 UTC 2025","","searxng.spec.js","",""
"","287","about","Firefox 1024","Fri Feb 28 05:29:51 UTC 2025","passed","Fri Feb 28 05:29:51 UTC 2025","","searxng.spec.js","",""
"","315","about","Firefox 1920 - no js","Fri Feb 28 05:32:17 UTC 2025","passed","Fri Feb 28 05:32:17 UTC 2025","","searxng.spec.js","",""
"","2615","search_general","Firefox 1920","Fri Feb 28 05:28:35 UTC 2025","passed","Fri Feb 28 05:28:38 UTC 2025","","searxng.spec.js","",""
"","2429","search_general","Firefox 1024","Fri Feb 28 05:29:32 UTC 2025","passed","Fri Feb 28 05:29:34 UTC 2025","","searxng.spec.js","",""
"","3065","search_general","Webkit 1920","Fri Feb 28 05:33:22 UTC 2025","passed","Fri Feb 28 05:33:25 UTC 2025","","searxng.spec.js","",""
"","1839","search_code","Webkit 1920","Fri Feb 28 05:33:46 UTC 2025","passed","Fri Feb 28 05:33:48 UTC 2025","","searxng.spec.js","",""
"","675","about","Webkit 1920","Fri Feb 28 05:33:48 UTC 2025","passed","Fri Feb 28 05:33:49 UTC 2025","","searxng.spec.js","",""
"","2029","search_general","Firefox 1024 - centered","Fri Feb 28 05:29:58 UTC 2025","passed","Fri Feb 28 05:30:00 UTC 2025","","searxng.spec.js","",""
"","2155","search_general","Firefox 1920 - dark mode","Fri Feb 28 05:32:25 UTC 2025","passed","Fri Feb 28 05:32:27 UTC 2025","","searxng.spec.js","",""
"","2285","search_general","Firefox 1920 - rtl","Fri Feb 28 05:31:41 UTC 2025","passed","Fri Feb 28 05:31:43 UTC 2025","","searxng.spec.js","",""
"","3813","search_images","Mobile Chrome - centered - rtl","Fri Feb 28 05:31:18 UTC 2025","passed","Fri Feb 28 05:31:21 UTC 2025","","searxng.spec.js","",""
"","1550","preferences","Mobile Chrome","Fri Feb 28 05:33:49 UTC 2025","passed","Fri Feb 28 05:33:51 UTC 2025","","searxng.spec.js","",""
"","1481","search_code","Firefox 1920 - rtl","Fri Feb 28 05:31:58 UTC 2025","passed","Fri Feb 28 05:32:00 UTC 2025","","searxng.spec.js","",""
"","1418","search_map","Firefox 1920 - no js","Fri Feb 28 05:32:14 UTC 2025","passed","Fri Feb 28 05:32:16 UTC 2025","","searxng.spec.js","",""
"","8106","search_videos","Firefox 1920 - dark mode","Fri Feb 28 05:32:31 UTC 2025","passed","Fri Feb 28 05:32:39 UTC 2025","","searxng.spec.js","",""
"","4607","search_map","Firefox 1920 - dark mode","Fri Feb 28 05:32:39 UTC 2025","passed","Fri Feb 28 05:32:44 UTC 2025","","searxng.spec.js","",""
"","4777","search_map","Firefox 1024","Fri Feb 28 05:29:44 UTC 2025","passed","Fri Feb 28 05:29:49 UTC 2025","","searxng.spec.js","",""
"","1526","preferences","Mobile Chrome - centered - rtl","Fri Feb 28 05:31:10 UTC 2025","passed","Fri Feb 28 05:31:11 UTC 2025","","searxng.spec.js","",""
"","319","about","Firefox 1920 - dark mode","Fri Feb 28 05:32:45 UTC 2025","passed","Fri Feb 28 05:32:46 UTC 2025","","searxng.spec.js","",""
"","3027","search_videos","Firefox 1920 - no js","Fri Feb 28 05:32:11 UTC 2025","passed","Fri Feb 28 05:32:14 UTC 2025","","searxng.spec.js","",""
"","2963","search_general","Chromium 1920","Fri Feb 28 05:28:05 UTC 2025","passed","Fri Feb 28 05:28:08 UTC 2025","","searxng.spec.js","",""
"","5610","search_map","Webkit 1920","Fri Feb 28 05:33:41 UTC 2025","passed","Fri Feb 28 05:33:46 UTC 2025","","searxng.spec.js","",""
"","2034","preferences","Firefox 1920 - dark mode","Fri Feb 28 05:32:18 UTC 2025","passed","Fri Feb 28 05:32:20 UTC 2025","","searxng.spec.js","",""
"","6565","search_videos","Firefox 1280","Fri Feb 28 05:29:11 UTC 2025","passed","Fri Feb 28 05:29:18 UTC 2025","","searxng.spec.js","",""
"","3891","index","Firefox 1920","Fri Feb 28 05:28:31 UTC 2025","passed","Fri Feb 28 05:28:35 UTC 2025","","searxng.spec.js","",""
"","4476","search_images","Firefox 1920 - rtl","Fri Feb 28 05:31:43 UTC 2025","passed","Fri Feb 28 05:31:48 UTC 2025","","searxng.spec.js","",""
"","5110","search_images","Chromium 1920","Fri Feb 28 05:28:08 UTC 2025","passed","Fri Feb 28 05:28:13 UTC 2025","","searxng.spec.js","",""
"","208","about","Mobile Chrome - centered - rtl","Fri Feb 28 05:31:34 UTC 2025","passed","Fri Feb 28 05:31:34 UTC 2025","","searxng.spec.js","",""
"","6457","search_videos","Firefox 1024 - centered","Fri Feb 28 05:30:05 UTC 2025","passed","Fri Feb 28 05:30:11 UTC 2025","","searxng.spec.js","",""
"","4631","search_map","Chrome 1920 - high contrast","Fri Feb 28 05:33:05 UTC 2025","passed","Fri Feb 28 05:33:09 UTC 2025","","searxng.spec.js","",""
"","2014","preferences","Firefox 1024 - centered","Fri Feb 28 05:29:52 UTC 2025","passed","Fri Feb 28 05:29:54 UTC 2025","","searxng.spec.js","",""
"","3753","search_images","Firefox 1024","Fri Feb 28 05:29:34 UTC 2025","passed","Fri Feb 28 05:29:38 UTC 2025","","searxng.spec.js","",""
"","1431","search_code","Firefox 1920 - no js","Fri Feb 28 05:32:16 UTC 2025","passed","Fri Feb 28 05:32:17 UTC 2025","","searxng.spec.js","",""
"","2230","search_general","Firefox 1024 - centered - rtl","Fri Feb 28 05:30:25 UTC 2025","passed","Fri Feb 28 05:30:27 UTC 2025","","searxng.spec.js","",""
"","288","about","Firefox 1024 - centered","Fri Feb 28 05:30:18 UTC 2025","passed","Fri Feb 28 05:30:18 UTC 2025","","searxng.spec.js","",""
"","6439","search_videos","Firefox 1024","Fri Feb 28 05:29:38 UTC 2025","passed","Fri Feb 28 05:29:44 UTC 2025","","searxng.spec.js","",""
"","1691","preferences","Chromium 1920","Fri Feb 28 05:27:59 UTC 2025","passed","Fri Feb 28 05:28:01 UTC 2025","","searxng.spec.js","",""
"","1423","search_code","Mobile Chrome - centered","Fri Feb 28 05:31:08 UTC 2025","passed","Fri Feb 28 05:31:09 UTC 2025","","searxng.spec.js","",""
"","6789","search_videos","Firefox 1024 - centered - rtl","Fri Feb 28 05:30:31 UTC 2025","passed","Fri Feb 28 05:30:38 UTC 2025","","searxng.spec.js","",""
"","4629","search_map","Firefox 1024 - centered","Fri Feb 28 05:30:11 UTC 2025","passed","Fri Feb 28 05:30:16 UTC 2025","","searxng.spec.js","",""
"","234","about","Mobile Chrome","Fri Feb 28 05:34:13 UTC 2025","passed","Fri Feb 28 05:34:13 UTC 2025","","searxng.spec.js","",""
"","4341","search_images","Firefox 1920 - dark mode","Fri Feb 28 05:32:27 UTC 2025","passed","Fri Feb 28 05:32:31 UTC 2025","","searxng.spec.js","",""
"","1484","search_code","Firefox 1920 - dark mode","Fri Feb 28 05:32:44 UTC 2025","passed","Fri Feb 28 05:32:45 UTC 2025","","searxng.spec.js","",""
"","2534","search_general","Firefox 1920 - no js","Fri Feb 28 05:32:04 UTC 2025","passed","Fri Feb 28 05:32:07 UTC 2025","","searxng.spec.js","",""
"","2267","search_general","Mobile Chrome","Fri Feb 28 05:33:55 UTC 2025","passed","Fri Feb 28 05:33:57 UTC 2025","","searxng.spec.js","",""
"","216","about","Chrome 1920 - high contrast","Fri Feb 28 05:33:11 UTC 2025","passed","Fri Feb 28 05:33:11 UTC 2025","","searxng.spec.js","",""
"","1512","search_code","Firefox 1024 - centered","Fri Feb 28 05:30:16 UTC 2025","passed","Fri Feb 28 05:30:18 UTC 2025","","searxng.spec.js","",""
"","224","about","Chromium 1920","Fri Feb 28 05:28:28 UTC 2025","passed","Fri Feb 28 05:28:28 UTC 2025","","searxng.spec.js","",""
"","2152","preferences","Firefox 1920","Fri Feb 28 05:28:29 UTC 2025","passed","Fri Feb 28 05:28:31 UTC 2025","","searxng.spec.js","",""
"","3885","index","Chromium 1920","Fri Feb 28 05:28:01 UTC 2025","passed","Fri Feb 28 05:28:05 UTC 2025","","searxng.spec.js","",""
"","6209","search_videos","Firefox 1920","Fri Feb 28 05:28:43 UTC 2025","passed","Fri Feb 28 05:28:50 UTC 2025","","searxng.spec.js","",""
"","4378","search_images","Firefox 1024 - centered - rtl","Fri Feb 28 05:30:27 UTC 2025","passed","Fri Feb 28 05:30:31 UTC 2025","","searxng.spec.js","",""
"","810","index","Firefox 1920 - no js","Fri Feb 28 05:32:03 UTC 2025","passed","Fri Feb 28 05:32:04 UTC 2025","","searxng.spec.js","",""
"","2021","preferences","Firefox 1280","Fri Feb 28 05:28:57 UTC 2025","passed","Fri Feb 28 05:28:59 UTC 2025","","searxng.spec.js","",""
"","3849","index","Firefox 1024","Fri Feb 28 05:29:28 UTC 2025","passed","Fri Feb 28 05:29:32 UTC 2025","","searxng.spec.js","",""
"","4643","search_map","Mobile Chrome","Fri Feb 28 05:34:07 UTC 2025","passed","Fri Feb 28 05:34:11 UTC 2025","","searxng.spec.js","",""
"","322","about","Firefox 1920 - rtl","Fri Feb 28 05:32:00 UTC 2025","passed","Fri Feb 28 05:32:00 UTC 2025","","searxng.spec.js","",""
"","4728","search_map","Firefox 1280","Fri Feb 28 05:29:18 UTC 2025","passed","Fri Feb 28 05:29:23 UTC 2025","","searxng.spec.js","",""
"","3854","index","Mobile Chrome - centered - rtl","Fri Feb 28 05:31:12 UTC 2025","passed","Fri Feb 28 05:31:15 UTC 2025","","searxng.spec.js","",""
"","3839","index","Firefox 1024 - centered - rtl","Fri Feb 28 05:30:21 UTC 2025","passed","Fri Feb 28 05:30:25 UTC 2025","","searxng.spec.js","",""
"","1536","search_code","Firefox 1280","Fri Feb 28 05:29:23 UTC 2025","passed","Fri Feb 28 05:29:24 UTC 2025","","searxng.spec.js","",""
"","1482","search_code","Mobile Chrome","Fri Feb 28 05:34:11 UTC 2025","passed","Fri Feb 28 05:34:13 UTC 2025","","searxng.spec.js","",""
"","1966","preferences","Firefox 1024 - centered - rtl","Fri Feb 28 05:30:19 UTC 2025","passed","Fri Feb 28 05:30:21 UTC 2025","","searxng.spec.js","",""
"","3845","index","Firefox 1280","Fri Feb 28 05:29:00 UTC 2025","passed","Fri Feb 28 05:29:04 UTC 2025","","searxng.spec.js","",""
"","5415","preferences","Webkit 1920","Fri Feb 28 05:33:11 UTC 2025","passed","Fri Feb 28 05:33:17 UTC 2025","","searxng.spec.js","",""
"","5848","search_images","Firefox 1280","Fri Feb 28 05:29:06 UTC 2025","passed","Fri Feb 28 05:29:11 UTC 2025","","searxng.spec.js","",""
"","1382","search_code","Mobile Chrome - centered - rtl","Fri Feb 28 05:31:33 UTC 2025","passed","Fri Feb 28 05:31:34 UTC 2025","","searxng.spec.js","",""
"","6085","search_videos","Firefox 1920 - rtl","Fri Feb 28 05:31:48 UTC 2025","passed","Fri Feb 28 05:31:54 UTC 2025","","searxng.spec.js","",""
"","329","about","Firefox 1920","Fri Feb 28 05:28:56 UTC 2025","passed","Fri Feb 28 05:28:57 UTC 2025","","searxng.spec.js","",""
"","235","about","Mobile Chrome - centered","Fri Feb 28 05:31:09 UTC 2025","passed","Fri Feb 28 05:31:09 UTC 2025","","searxng.spec.js","",""
"","2301","search_general","Chrome 1920 - high contrast","Fri Feb 28 05:32:52 UTC 2025","passed","Fri Feb 28 05:32:55 UTC 2025","","searxng.spec.js","",""
"","3415","search_images","Mobile Chrome","Fri Feb 28 05:33:57 UTC 2025","passed","Fri Feb 28 05:34:01 UTC 2025","","searxng.spec.js","",""
"","4601","search_map","Firefox 1920 - rtl","Fri Feb 28 05:31:54 UTC 2025","passed","Fri Feb 28 05:31:58 UTC 2025","","searxng.spec.js","",""
"","1481","search_code","Firefox 1024 - centered - rtl","Fri Feb 28 05:30:43 UTC 2025","passed","Fri Feb 28 05:30:44 UTC 2025","","searxng.spec.js","",""
"","8217","search_videos","Webkit 1920","Fri Feb 28 05:33:33 UTC 2025","passed","Fri Feb 28 05:33:41 UTC 2025","","searxng.spec.js","",""
"","4054","search_images","Chrome 1920 - high contrast","Fri Feb 28 05:32:55 UTC 2025","passed","Fri Feb 28 05:32:59 UTC 2025","","searxng.spec.js","",""
"","296","about","Firefox 1024 - centered - rtl","Fri Feb 28 05:30:44 UTC 2025","passed","Fri Feb 28 05:30:45 UTC 2025","","searxng.spec.js","",""
"","3854","index","Chrome 1920 - high contrast","Fri Feb 28 05:32:48 UTC 2025","passed","Fri Feb 28 05:32:52 UTC 2025","","searxng.spec.js","",""
"","1610","search_code","Firefox 1920","Fri Feb 28 05:28:55 UTC 2025","passed","Fri Feb 28 05:28:56 UTC 2025","","searxng.spec.js","",""
"","6037","search_videos","Chrome 1920 - high contrast","Fri Feb 28 05:32:59 UTC 2025","passed","Fri Feb 28 05:33:05 UTC 2025","","searxng.spec.js","",""
